1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
569	-0.861590	201.537153	0.009350	4.1
570	-1.144222	201.356887	0.005137	4.4
571	-0.884416	201.177050	0.013943	4.1
572	-0.073741	200.997642	0.001638	4.5
573	-0.009915	200.818659	0.000555	4.3
574	-0.999044	200.640100	0.009405	4.4
575	-0.000000	200.461965	0.000000	4.2
576	-0.000350	200.284250	0.000050	4.1
577	-0.505281	200.106955	0.008003	4.4
578	-0.939417	199.930078	0.010202	4.5
579	-0.969023	199.753617	0.011100	4.0
580	-0.033157	199.577571	0.001691	4.1
581	-0.000000	199.401938	0.000000	4.5
582	-1.242221	199.226717	0.013660	4.3
583	-1.245129	199.051905	0.005493	4.2
584	-0.180043	198.877502	0.003496	4.4
585	-0.000000	198.703506	0.000000	4.9
586	-1.175128	198.529916	0.005499	4.1
587	-1.539872	198.356729	0.015327	4.3
588	-0.163542	198.183944	0.002825	4.9
589	-1.003716	198.011560	0.007687	4.3
590	-0.494597	197.839576	0.009092	3.8
591	-1.388862	197.667989	0.010797	4.7
592	-0.000000	197.496798	0.000000	5.5
593	-0.005764	197.326002	0.000727	4.5
594	-0.000000	197.155600	0.000000	4.5
595	-0.805785	196.985589	0.005038	4.0
596	-0.000000	196.815969	0.000000	4.1
597	-0.417644	196.646738	0.006184	4.3
598	-1.110562	196.477894	0.007617	4.3
599	-0.241243	196.309436	0.003639	4.1
600	-0.330031	196.141363	0.006432	4.4
601	-0.125094	195.973673	0.002669	4.6
602	-0.682942	195.806365	0.008021	4.3
603	-0.754705	195.639437	0.009691	5.2
604	-1.199244	195.472888	0.014552	4.0
605	-0.935842	195.306717	0.011494	4.6
606	-1.456130	195.140922	0.008850	4.2
607	-0.000000	194.975501	0.000000	4.9
608	-1.094918	194.810454	0.009884	4.7
609	-0.530484	194.645779	0.007989	4.3
610	-1.277284	194.481475	0.014285	3.9
611	-0.387210	194.317540	0.005421	4.2
612	-0.000000	194.153973	0.000000	4.4
613	-0.844051	193.990773	0.008645	4.4
614	-0.652536	193.827938	0.012461	4.1
615	-0.670648	193.665467	0.010135	4.3
616	-0.812200	193.503358	0.007903	4.8
617	-0.000000	193.341611	0.000000	4.1
618	-1.505539	193.180224	0.010657	4.2
619	-0.152564	193.019196	0.003259	4.8
620	-0.966015	192.858525	0.010844	4.5
621	-0.747850	192.698210	0.006998	5.0
622	-0.695068	192.538251	0.005026	4.5
623	-1.462058	192.378644	0.014897	4.7
624	-0.000000	192.219391	0.000000	4.5
625	-1.287661	192.060488	0.020436	5.0
626	-1.454001	191.901935	0.012468	5.0
627	-0.000012	191.743730	0.000003	4.8
628	-1.418958	191.585873	0.011017	5.4
